id,label,tweet
24146,0,happy laura caer georgina leigh lateysha grace alex cannon back screen bbuk buzzing
10007,1,ufc champ amandanunes gets 200k beating rondarousey got 3 million sophisticated
27711,1,buddhist burmese nothing buddhism period rohingyas
5073,0,ppl get lonely amp sta chilllin wit enemy ð
25449,0,rest peacefully bosom lord stephen keshi goat generation super eagles roles
6885,0,friday followers great day almostweekend
10469,0,lucky girlð¾ live favorite pa country santa monica attending august ðð
3350,0,power retweet power use photo
24622,0,true passing drug test receive could solve lot
5988,0,dope nah like4like f4f child goofingaround oou
14300,0,gun control much sick people always find way
7557,1,4 blackpeople beat whiteperson isnt 3 bp might make 2 cou alive serve life somehow vs
12344,1,thought factory leftright polarisation trump uselections2016 leadership politics brexit blm 5
2396,0,friends today make effo take every situtation accept â
25477,1,bama total hypocrites cheer like hell remain silent confederateflag amp stance onâ
9892,0,niggas yo cousins inbox lying saying
30023,1,please explain us bad
11599,0,long weekend away âï thursday morning long weekend getaway vacay womens styleâ
9343,1,wise words often come black americans reaction denzelwashington morganfreeman willsmith
21658,0,sitting garden listening birds ð feeling blessed lovinglife
13720,0,sunday funday meal sushi pho back goal grind feel guilty weekend toure body
5172,1,manipur ndtv timenow samachar zeenews dordarshan genocide would reaction
6044,1,caturday truly stand equality none acceptable â
157,1,smaller hands show barry probably lied knicks game sucked golfâ
9609,1,allahsoil greenspanâs policies largely blamed mogage crisis â ââ
17845,1,allahsoil neoliberalism prioritized money oil pretty much everything else â ââ
27798,0,sometimes look nice fashion lookingsharp dressedup shiandtie tieâ
1104,0,days better others today one givethanksforlife feelingmyself hardwork
5402,0,mmas kimbo slice waiting hea transplant died mma ð
1543,1,felt lawrence fishburn added magical negro hollywood stereotypes made
31681,1,chick gets fucked crazy european sex
26006,1,arabs preying poor slavelabor
24603,1,michelle obama âape heelsâ case beginning donaldtrump america
11346,1,dear please give us multiracial amp objective list prove selectionâ
19211,1,say make mediocre videos way flattering though
11383,0,commenced transition gop current whig pay
1007,1,radicalism shouldnt countered terrorists see us inhumans free judge colorâ
17867,0,late post imoy falls cbafamily summerouting travellifeâ
22188,0,ok going
6285,0,thankful palm trees thankful positive
14582,0,miss darling locutorio lyrics love
2397,0,new place new track new stalets see europeangp f1baku f1 redseason seb5 kimi7
